_id,ngay,giai,so,basocuoi,haisocuoi,chanle,createdAt,updatedAt,__v,date_obj
691898a5deab5375d2966f80,23/04/2023,G5b,9325,325,25,LCL,2025-11-15 15:13:41.020,2025-11-15 15:13:41.020,0,2023-04-23
691898a4deab5375d2966f7d,23/04/2023,G5a,4428,428,28,CCC,2025-11-15 15:13:40.948,2025-11-15 15:13:40.948,0,2023-04-23
691898a5deab5375d2966f8c,23/04/2023,G5f,0551,551,51,LLL,2025-11-15 15:13:41.309,2025-11-15 15:13:41.309,0,2023-04-23
691898a2deab5375d2966f1d,24/04/2023,G3f,37386,386,86,LCC,2025-11-15 15:13:38.626,2025-11-15 15:13:38.626,0,2023-04-24
691898a2deab5375d2966f1a,24/04/2023,G3e,02653,653,53,CLL,2025-11-15 15:13:38.555,2025-11-15 15:13:38.555,0,2023-04-24
691898a2deab5375d2966f17,24/04/2023,G3d,75329,329,29,LCL,2025-11-15 15:13:38.483,2025-11-15 15:13:38.483,0,2023-04-24
691898a2deab5375d2966f14,24/04/2023,G3c,98146,146,46,LCC,2025-11-15 15:13:38.411,2025-11-15 15:13:38.411,0,2023-04-24
691898a2deab5375d2966f11,24/04/2023,G3b,76581,581,81,LCL,2025-11-15 15:13:38.340,2025-11-15 15:13:38.340,0,2023-04-24
691898a2deab5375d2966f08,24/04/2023,G2a,54521,521,21,LCL,2025-11-15 15:13:38.125,2025-11-15 15:13:38.125,0,2023-04-24
691898a2deab5375d2966f0b,24/04/2023,G2b,44002,002,02,CCC,2025-11-15 15:13:38.196,2025-11-15 15:13:38.196,0,2023-04-24
691898a2deab5375d2966f05,24/04/2023,G1,06909,909,09,LCL,2025-11-15 15:13:38.053,2025-11-15 15:13:38.053,0,2023-04-24
691898a1deab5375d2966f02,24/04/2023,ĐB,42105,105,05,LCL,2025-11-15 15:13:37.981,2025-11-15 15:13:37.981,0,2023-04-24
691898a2deab5375d2966f20,24/04/2023,G4a,8315,315,15,LLL,2025-11-15 15:13:38.698,2025-11-15 15:13:38.698,0,2023-04-24
